date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2020-06-06,87.0,10.0,3.0
2020-06-05,97.0,10.0,3.0
2020-06-04,108.0,10.0,6.0
2020-06-03,109.0,11.0,3.0
2020-06-02,117.0,10.0,8.0
2020-06-01,122.0,12.0,6.0
2020-05-31,111.0,10.0,4.0
2020-05-30,122.0,12.0,16.0
2020-05-29,130.0,13.0,8.0
2020-05-28,134.0,13.0,7.0
2020-05-27,141.0,15.0,9.0
2020-05-26,144.0,13.0,8.0
2020-05-25,147.0,14.0,9.0
2020-05-24,138.0,13.0,9.0
2020-05-23,143.0,13.0,14.0
2020-05-22,141.0,15.0,4.0
2020-05-21,159.0,16.0,7.0
2020-05-20,156.0,14.0,13.0
2020-05-19,165.0,14.0,12.0
2020-05-18,155.0,16.0,4.0
2020-05-17,150.0,16.0,20.0
2020-05-16,136.0,16.0,7.0
2020-05-15,135.0,15.0,15.0
2020-05-14,125.0,15.0,11.0
2020-05-13,131.0,17.0,12.0
2020-05-12,138.0,19.0,16.0
2020-05-11,145.0,20.0,10.0
2020-05-10,147.0,22.0,5.0
2020-05-09,137.0,21.0,13.0
2020-05-08,140.0,20.0,10.0
2020-05-07,139.0,21.0,28.0
2020-05-06,144.0,23.0,21.0
2020-05-05,146.0,24.0,7.0
2020-05-04,142.0,23.0,18.0
2020-05-03,146.0,24.0,18.0
2020-05-02,153.0,27.0,7.0
2020-05-01,153.0,32.0,13.0
2020-04-30,147.0,31.0,26.0
2020-04-29,137.0,31.0,23.0
2020-04-28,162.0,31.0,9.0
2020-04-27,185.0,35.0,16.0
2020-04-26,168.0,36.0,13.0
2020-04-25,168.0,36.0,12.0
2020-04-24,172.0,37.0,13.0
2020-04-23,192.0,39.0,34.0
2020-04-22,199.0,42.0,13.0
2020-04-21,204.0,41.0,15.0
2020-04-20,180.0,41.0,27.0
2020-04-19,178.0,44.0,31.0
2020-04-18,174.0,48.0,21.0
2020-04-17,182.0,49.0,18.0
2020-04-16,194.0,49.0,31.0
2020-04-15,195.0,50.0,19.0
2020-04-14,201.0,46.0,27.0
2020-04-13,199.0,46.0,13.0
2020-04-12,195.0,45.0,22.0
2020-04-11,186.0,46.0,30.0
