catchment_year,msoa,trust_code,patients_from_msoa_to_trust,total_patients_of_msoa
2012,E02002647,R0A,44,3806
2012,E02005288,R0A,47,2244
2012,E02003986,R0A,45,3114
2012,E02005223,R0A,54,3234
2012,E02002641,R0A,54,3507
2012,E02003875,R0A,111,2584
2012,E02004021,R0A,44,2131
2012,E02005248,R0A,77,3091
2012,E02003886,R0A,55,3024
2012,E02005208,R0A,66,4866
2012,E02005214,R0A,49,2918
2012,E02005193,R0A,63,3279
2012,E02003890,R0A,53,2688
2012,E02002616,R0A,65,3261
2012,E02002650,R0A,48,3654
2012,E02005322,R0A,55,4442
2012,E02004015,R0A,48,2730
2012,E02002638,R0A,51,3444
2012,E02002635,R0A,50,3510
2012,E02002633,R0A,47,3424
2012,E02002612,R0A,54,3756
2012,E02002629,R0A,47,2719
2012,E02005300,R0A,45,1964
2012,E02005186,R0A,55,2497
2012,E02005184,R0A,58,1981
2012,E02005326,R0A,55,3972
2012,E02001301,R0A,165,3769
2012,E02002649,R0A,44,4076
2012,E02002626,R0A,66,3196
2012,E02001319,R0A,146,3442
2012,E02006204,R0A,70,2851
2012,E02004027,R0A,73,3728
2012,E02001325,R0A,138,3254
2012,E02003887,R0A,50,2624
2012,E02005264,R0A,58,4330
2012,E02005236,R0A,98,6117
2012,E02003889,R0A,54,2748
2012,E02002625,R0A,76,4384
2012,E02002623,R0A,80,4914
2012,E02004070,R0A,47,2452
2012,E02003980,R0A,56,3564
2012,E02002618,R0A,75,2970
2012,E02005254,R0A,53,2377
2012,E02003880,R0A,66,2845
2012,E02005262,R0A,50,2332
2012,E02005190,R0A,56,2375
2012,E02001408,R0A,48,2449
2012,E02003981,R0A,52,3002
2012,E02003881,R0A,66,2462
2012,E02003985,R0A,48,3326
2012,E02003822,R0A,117,4392
2012,E02005293,R0A,44,2559
2012,E02001299,R0A,147,3570
2012,E02005274,R0A,47,2320
2012,E02005270,R0A,48,2566
2012,E02005185,R0A,64,4077
2012,E02004025,R0A,64,3742
2012,E02001297,R0A,100,2854
2012,E02003828,R0A,53,3272
2012,E02005331,R0A,45,3318
2012,E02003885,R0A,77,2284
2012,E02001318,R0A,126,3298
2012,E02003884,R0A,99,3045
2012,E02005259,R0A,58,4356
2012,E02005237,R0A,52,3630
2012,E02001287,R0A,75,2087
2012,E02001290,R0A,116,2333
2012,E02005268,R0A,70,3940
2012,E02005230,R0A,58,3502
2012,E02001294,R0A,133,3246
2012,E02005201,R0A,69,3247
2012,E02005197,R0A,54,2974
2012,E02005179,R0A,85,4164
2012,E02005255,R0A,58,3449
2012,E02005198,R0A,61,3514
2012,E02005191,R0A,51,3140
2012,E02001307,R0A,174,4122
2012,E02003883,R0A,124,3367
2012,E02001000,R0A,197,4050
2012,E02001322,R0A,131,3159
2012,E02001320,R0A,160,3409
2012,E02002959,R0A,10,3741
2012,E02002979,R0A,10,2273
2012,E02001500,R0A,9,2948
2012,E02001422,R0A,9,2907
2012,E02001374,R0A,9,3791
2012,E02002964,R0A,9,3313
2012,E02006164,R0A,9,2822
2012,E02001411,R0A,9,2705
2012,E02003971,R0A,9,3070
2012,E02005314,R0A,9,3137
2012,E02002584,R0A,9,3378
2012,E02001454,R0A,9,3335
2012,E02002969,R0A,9,3349
2012,E02005315,R0A,9,3859
2012,E02001505,R0A,9,2811
2012,E02002259,R0A,9,2569
2012,E02001438,R0A,9,3034
2012,E02006172,R0A,9,3198
2012,E02001381,R0A,9,3825
2012,E02001481,R0A,9,3610
2012,E02001439,R0A,9,2767
2012,E02001428,R0A,9,2550
2012,E02002953,R0A,9,2934
2012,E02003805,R0A,9,2299
2012,E02001377,R0A,9,3545
2012,E02006169,R0A,9,2152
2012,E02002268,R0A,9,3976
2012,E02002581,R0A,9,3772
2012,E02001492,R0A,9,3282
2012,E02002967,R0A,9,4080
2012,E02001466,R0A,9,4338
2012,E02001366,R0A,9,4369
2012,E02002300,R0A,9,2618
2012,E02002958,R0A,9,3205
2012,E02004011,R0A,9,3888
2012,E02002580,R0A,9,4178
2012,E02002328,R0A,9,2366
